60711, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.30, 0.13, 0.03, 0, 0, 0, 559, 24.95, 568.12, 94684.78, 25.20
61334, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.08, -0.04, 0.65, 0, 0, 0, 559, 24.95, 567.97, 94686.52, 25.20
61972, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.95, -0.51, -0.70, 0, 0, 0, 560, 24.96, 568.10, 94684.07, 25.24
62605, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.31, 0.01, 0.11, 0, 0, 0, 560, 24.96, 568.59, 94679.48, 25.20
63230, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.40, -0.34, -0.74, 0, 0, 0, 560, 24.96, 568.52, 94680.28, 25.20
63873, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.97, -0.02, -0.20, 0, 0, 0, 560, 24.96, 568.06, 94685.43, 25.20
64494, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.34, 0.07, 0.06, 0, 0, 0, 560, 24.96, 568.54, 94679.95, 25.20
65125, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.66, -0.17, -0.41, 0, 0, 0, 560, 24.96, 568.65, 94684.13, 25.24
65761, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.22, 0.13, 0.20, 0, 0, 0, 560, 24.96, 568.07, 94685.33, 25.20
66381, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.11, -0.42, 0.25, 0, 0, 0, 559, 24.96, 568.19, 94683.93, 25.20
67027, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.05, 0.02, -0.30, 0, 0, 0, 559, 24.96, 568.26, 94683.13, 25.20
67646, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.03, -0.59, -0.04, 0, 0, 0, 559, 24.96, 567.99, 94686.26, 25.20
68284, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.03, 0.03, 0.38, 0, 0, 0, 559, 24.96, 569.04, 94670.62, 25.25
68914, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.28, 1.03, 0.00, 0, 0, 0, 559, 24.96, 567.98, 94686.39, 25.21
69556, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.23, -1.32, -0.56, 0, 0, 0, 559, 24.96, 568.63, 94679.00, 25.21
70198, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.84, -0.18, 0.13, 0, 0, 0, 559, 24.96, 568.03, 94685.75, 25.22
70819, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.57, 0.21, -0.36, 0, 0, 0, 559, 24.96, 568.13, 94684.71, 25.21
71453, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.03, -0.53, -0.07, 0, 0, 0, 559, 24.98, 568.44, 94669.79, 25.26
72089, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.29, 0.45, 0.27, 0, 0, 0, 559, 24.98, 567.96, 94686.65, 25.22
72707, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.15, -0.14, -0.08, 0, 0, 0, 559, 24.98, 568.77, 94677.44, 25.21
73353, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.09, -0.18, -0.09, 0, 0, 0, 559, 24.98, 568.49, 94680.60, 25.26
73977, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.27, 0.44, 0.22, 0, 0, 0, 559, 24.98, 568.01, 94685.98, 25.23
74611, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.32, -0.50, -0.01, 0, 0, 0, 559, 24.98, 568.20, 94671.07, 25.27
75241, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.13, -0.14, 0.12, 0, 0, 0, 559, 24.98, 568.36, 94682.05, 25.24
75860, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.08, -0.97, -0.05, 0, 0, 0, 559, 25.01, 568.08, 94685.28, 25.23
76495, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.63, -0.53, 0.29, 0, 0, 0, 559, 25.01, 568.05, 94685.52, 25.27
77126, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.08, 0.41, -0.04, 0, 0, 0, 559, 25.01, 568.05, 94685.57, 25.24
77757, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.23, -0.56, 0.15, 0, 0, 0, 559, 25.01, 568.13, 94688.04, 25.28
78399, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.19, -0.23, 0.11, 0, 0, 0, 559, 25.01, 569.09, 94673.72, 25.23
79010, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.01, -0.10, 0.00, 0, 0, 0, 559, 25.01, 568.26, 94683.14, 25.24
79668, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.04, 0.28, 0.24, 0, 0, 0, 559, 25.01, 568.04, 94685.65, 25.27
80291, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,-0.10, -0.51, 0.35, 0, 0, 0, 559, 25.01, 567.77, 94688.78, 25.25
80924, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.04, -0.55, -0.16, 0, 0, 0, 559, 25.02, 568.05, 94678.00, 25.28
81557, 200-0-0 0:0:0.0, 0, 0, ,,,,,,,0.41, 0.22, 0.41, 0, 0, 0, 559, 25.02, 568.63, 94679.03, 25.24
